Rank,SongName,Singer,Likepoint,Likepoint_gap
1위,넘쳐흘러,엠씨더맥스,74149,65580
2위,벌써 12시,청하,68071,59502
3위,띵 (Prod. By 기리보이),"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한",40559,31990
4위,180도,벤,116731,108162
5위,신용재,하은 (라코스테남),79021,70452
6위,SOLO,제니 (JENNIE),158229,149660
7위,MILLIONS,WINNER,98738,90169
8위,아낙네,MINO (송민호),140133,131564
9위,Love Shot,EXO,119757,111188
10위,너를 만나,폴킴,158088,149519
11위,YES or YES,TWICE (트와이스),114799,106230
12위,Tempo,EXO,167360,158791
13위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233161,224592
14위,내 생에 아름다운,케이윌,89342,80773
15위,너도 그냥 날 놓아주면 돼,윤건,37302,28733
16위,아름답고도 아프구나,비투비,120089,111520
17위,해야 (Sunrise),여자친구 (GFRIEND),22261,13692
18위,IDOL,방탄소년단,213112,204543
19위,가을 타나 봐,바이브,112166,103597
20위,첫눈에,헤이즈 (Heize),49380,40811
21위,흔한 이별,허각,36489,27920
22위,삐삐,아이유,203605,195036
23위,%%(응응),Apink (에이핑크),22910,14341
24위,고백,양다일,97523,88954
25위,이별하러 가는 길,임한별,70164,61595
26위,"thank u, next",Ariana Grande,81221,72652
27위,Way Back Home,숀 (SHAUN),249297,240728
28위,봄바람,Wanna One (워너원),124997,116428
29위,열애중,벤,148110,139541
30위,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135916,127347
31위,사계 (하루살이),엠씨더맥스,20037,11468
32위,FAKE LOVE,방탄소년단,268649,260080
33위,트라우마 (Trauma),EXO,66561,57992
34위,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피(Loopy)",120090,111521
35위,너 없인 안 된다,비투비,150056,141487
36위,Wait,EXO,67387,58818
37위,봄날,방탄소년단,377333,368764
38위,Gravity,EXO,95729,87160
39위,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78892,70323
40위,그리워하다,비투비,218762,210193
41위,닿은 순간 (Ooh La La La),EXO,93118,84549
42위,지나오다,닐로 (Nilo),191978,183409
43위,24//7,EXO,91744,83175
44위,알았다면,장덕철,20405,11836
45위,I`m Fine,방탄소년단,157056,148487
46위,습관 (Bad Habits),숀 (SHAUN),17083,8514
47위,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202765,194196
48위,DNA,방탄소년단,334723,326154
49위,Sign,EXO,89992,81423
50위,여기 있을게 (Smile On My Face),EXO,87003,78434
51위,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,20349,11780
52위,너는 어땠을까,노을,37075,28506
53위,사이렌 (Siren),선미,109963,101394
54위,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스",106556,97987
55위,We all lie,하진,34850,26281
56위,Damage,EXO,83557,74988
57위,가끔 (With You),EXO,84755,76186
58위,후폭풍 (Bad Dream),EXO,83485,74916
59위,행복,오반 (OVAN),42683,34114
60위,미안해,양다일,141989,133420
61위,Universe,EXO,185699,177130
62위,Dance The Night Away,TWICE (트와이스),138541,129972
63위,시간이 들겠지 (Feat. Colde),로꼬,96394,87825
64위,오아시스 (Oasis),EXO,86547,77978
65위,밤편지,아이유,303734,295165
66위,이별길 (GOODBYE ROAD),iKON,84230,75661
67위,우리 그만하자,로이킴,121539,112970
68위,가을 안부,먼데이 키즈 (Monday Kiz),126030,117461
69위,헤어지는 중,펀치 (Punch),97965,89396
70위,Euphoria,방탄소년단,150693,142124
71위,비,폴킴,182979,174410
72위,Answer : Love Myself,방탄소년단,130497,121928
73위,Bohemian Rhapsody (2011 Remaster),Queen,88158,79589
74위,에너제틱 (Energetic),Wanna One (워너원),286591,278022
75위,Wind flower,마마무(Mamamoo),48762,40193
76위,그때 헤어지면 돼,로이킴,191439,182870
77위,동화 (feat. 아이유),김동률,54915,46346
78위,BOOMERANG (부메랑),Wanna One (워너원),144034,135465
79위,Beautiful,Wanna One (워너원),235105,226536
80위,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191423,182854
81위,켜줘 (Light),Wanna One (워너원),133341,124772
82위,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74229,65660
83위,사랑을 했다 (LOVE SCENARIO),iKON,278900,270331
84위,IndiGO,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",89355,80786
85위,Anpanman,방탄소년단,148939,140370
86위,꿈처럼 내린,다비치,37686,29117
87위,Epiphany,방탄소년단,119465,110896
88위,불꽃놀이 (Flowerbomb),Wanna One (워너원),72298,63729
89위,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8569,0
90위,술래,Wanna One (워너원),69447,60878
91위,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81318,72749
92위,그때가 좋았어,케이시 (Kassy),14265,5696
93위,Trivia 轉 : Seesaw,방탄소년단,113936,105367
94위,집,Wanna One (워너원),71777,63208
95위,그 남자를 떠나,god,13531,4962
96위,YA,이민혁 (HUTA),14300,5731
97위,묻고싶다 (One Love),Wanna One (워너원),66889,58320
98위,I`M OK,iKON,23454,14885
99위,RBB (Really Bad Boy),Red Velvet (레드벨벳),55110,46541
100위,사랑은 다 이러니,홍진영,11283,2714
총계, , ,11320672,10463772
